date,sensor_number,calls_number,Myotis brandtii,Myotis daubentonii,Myotis nattereri,Nyctalus leisleri,Nyctalus noctula,Pipistrellus nathusii,Pipistrellus pipistrellus,Pipistrellus pygmaeus,Plecotus auritus,Plecotus austriacus
2018-02-01,6,18,0,0,0,4,1,10,3,0,0,0
2018-02-02,6,15,0,0,0,6,0,6,1,2,0,0
2018-02-03,6,5,0,0,0,1,0,4,0,0,0,0
2018-02-04,6,26,0,0,0,3,0,5,2,16,0,0
2018-02-05,6,15,0,0,0,3,1,9,1,1,0,0
2018-02-06,6,28,0,0,0,3,0,13,6,6,0,0
2018-02-07,6,17,0,0,0,4,2,6,5,0,0,0
2018-02-08,6,28,1,0,0,5,0,9,3,10,0,0
2018-02-09,6,4,0,0,0,0,1,2,0,1,0,0
2018-02-10,6,1,0,0,0,0,0,1,0,0,0,0
2018-02-11,6,10,0,0,0,1,0,4,5,0,0,0
2018-02-12,6,25,0,0,0,5,1,14,3,2,0,0
2018-02-13,6,8,0,0,0,0,1,4,3,0,0,0
2018-02-14,6,2,0,0,0,2,0,0,0,0,0,0
2018-02-15,6,10,0,0,0,1,1,6,1,1,0,0
2018-02-16,6,18,0,0,0,1,4,5,1,7,0,0
2018-02-17,6,32,0,0,0,2,16,10,3,1,0,0
2018-02-18,6,11,0,0,0,2,1,6,1,1,0,0
2018-02-19,6,10,0,0,0,0,1,0,9,0,0,0
2018-02-20,6,6,0,0,0,1,3,1,0,1,0,0
2018-02-21,6,50,0,0,0,4,30,13,3,0,0,0
2018-02-22,6,34,0,0,0,3,18,11,1,1,0,0
2018-02-23,6,26,0,0,0,13,2,7,4,0,0,0
2018-02-24,6,19,0,0,0,4,8,6,1,0,0,0
2018-02-25,6,19,0,0,0,3,3,13,0,0,0,0
2018-02-26,6,29,0,0,0,7,4,15,2,1,0,0
2018-02-27,6,11,0,0,0,1,2,8,0,0,0,0
2018-02-28,6,7,0,0,0,3,4,0,0,0,0,0
2018-03-02,6,1,0,0,0,0,0,0,0,1,0,0
2018-03-04,6,1,0,0,0,0,0,1,0,0,0,0
2018-03-05,6,9,0,0,0,1,1,2,1,4,0,0
2018-03-06,6,18,0,0,0,3,0,11,0,4,0,0
2018-03-07,6,6,0,0,0,0,0,2,2,2,0,0
2018-03-08,6,8,0,0,0,0,0,6,1,1,0,0
2018-03-09,6,6,0,0,0,2,0,2,2,0,0,0
2018-03-10,6,30,0,0,0,2,0,6,9,13,0,0
2018-03-11,6,3,0,0,0,1,0,2,0,0,0,0
2018-03-12,6,3,0,0,0,2,0,1,0,0,0,0
2018-03-13,6,22,0,0,0,0,0,9,12,1,0,0
2018-03-14,6,19,0,0,0,5,0,10,1,3,0,0
2018-03-15,6,1,0,0,0,0,0,0,1,0,0,0
2018-03-16,6,7,0,0,0,5,0,1,0,1,0,0
2018-03-17,6,1,0,0,0,0,0,0,1,0,0,0
2018-03-19,6,24,0,0,0,11,0,12,1,0,0,0
2018-03-20,6,15,0,0,0,7,1,5,1,0,0,1
2018-03-21,6,31,0,0,0,5,0,8,6,12,0,0
2018-03-22,6,9,0,0,0,0,0,9,0,0,0,0
2018-03-23,6,8,0,0,0,1,0,2,2,2,0,1
2018-03-24,6,15,0,0,0,1,0,0,3,11,0,0
2018-03-25,6,28,0,0,0,2,0,3,11,12,0,0
2018-03-26,6,28,0,0,0,4,1,12,2,9,0,0
2018-03-27,6,12,0,0,0,1,0,3,6,2,0,0
2018-03-28,6,2,0,0,0,1,0,1,0,0,0,0
2018-03-29,6,9,0,0,0,1,0,1,6,1,0,0
2018-04-02,6,1,0,0,0,1,0,0,0,0,0,0
2018-04-03,6,23,0,0,0,0,1,21,1,0,0,0
2018-04-04,6,20,0,0,0,8,0,7,3,2,0,0
2018-04-05,6,22,0,0,0,2,0,14,2,4,0,0
2018-04-06,6,45,0,0,0,1,0,5,22,17,0,0
2018-04-07,6,9,0,0,0,2,0,0,6,1,0,0
2018-04-09,6,1,0,0,0,0,0,1,0,0,0,0
2018-04-10,6,11,0,0,0,1,0,1,0,9,0,0
2018-04-11,6,4,0,0,0,1,0,2,0,1,0,0
2018-04-12,6,18,0,0,0,4,0,6,2,6,0,0
2018-04-13,6,28,0,0,0,5,0,9,4,10,0,0
2018-04-14,6,23,0,0,0,3,0,7,9,4,0,0
2018-04-15,6,7,0,0,0,1,0,0,3,3,0,0
2018-04-16,6,25,0,0,0,4,0,12,5,4,0,0
2018-04-17,6,65,0,0,0,4,0,21,26,14,0,0
2018-04-18,6,40,0,0,0,5,0,19,6,10,0,0
2018-04-19,6,52,0,0,0,6,0,23,18,5,0,0
2018-04-20,6,76,0,0,0,7,0,22,32,15,0,0
2018-04-21,6,49,0,0,0,7,0,19,8,15,0,0
2018-04-22,6,26,0,0,0,7,3,8,6,2,0,0
2018-04-23,6,12,0,0,0,0,0,9,3,0,0,0
2018-04-24,6,28,0,0,0,11,2,7,4,4,0,0
2018-04-25,6,24,0,0,0,1,1,8,2,12,0,0
2018-04-26,6,19,0,0,0,0,1,4,8,6,0,0
2018-04-27,6,3,0,0,0,0,1,0,2,0,0,0
2018-04-28,6,3,0,0,0,0,2,1,0,0,0,0
2018-04-29,6,9,0,0,0,1,5,1,1,1,0,0
2018-04-30,6,1,0,0,0,0,0,1,0,0,0,0
2018-05-01,6,29,0,0,0,1,1,12,7,8,0,0
2018-05-02,6,21,0,0,0,1,0,5,7,8,0,0
2018-05-03,6,21,0,0,0,3,4,6,4,4,0,0
2018-05-07,15,50,0,0,0,0,0,4,17,29,0,0
2018-05-08,15,99,0,0,0,0,0,12,58,29,0,0
2018-05-09,15,61,0,0,0,0,0,16,14,31,0,0
2018-05-10,15,129,0,0,0,1,0,18,87,23,0,0
2018-05-11,15,163,4,0,0,2,6,32,88,31,0,0
2018-05-12,11,12,0,0,0,5,0,4,3,0,0,0
2018-05-12,15,100,0,0,0,0,0,8,52,40,0,0
2018-05-13,11,59,0,0,0,11,0,8,29,11,0,0
2018-05-13,15,134,0,0,0,1,0,13,101,19,0,0
2018-05-14,11,90,0,0,0,1,2,12,72,2,1,0
2018-05-14,15,106,0,0,0,1,0,18,41,46,0,0
2018-05-15,11,109,0,0,0,11,0,46,36,16,0,0
2018-05-15,15,177,3,0,0,0,0,18,56,100,0,0
2018-05-16,11,23,0,0,0,5,1,7,10,0,0,0
2018-05-16,15,149,0,0,0,2,1,11,83,52,0,0
2018-05-17,11,28,0,0,0,0,0,19,8,1,0,0
2018-05-17,15,80,0,0,0,0,0,7,26,47,0,0
2018-05-18,11,91,0,0,0,3,5,17,38,28,0,0
2018-05-18,15,99,1,0,0,1,0,13,51,33,0,0
2018-05-19,11,144,0,0,0,12,6,34,53,39,0,0
2018-05-19,15,41,1,0,0,1,0,3,8,28,0,0
2018-05-20,11,94,0,0,0,10,1,24,42,17,0,0
2018-05-20,15,123,0,0,0,2,0,8,56,57,0,0
2018-05-21,11,174,0,0,0,26,2,17,101,25,3,0
2018-05-21,15,173,0,0,0,1,1,13,69,89,0,0
2018-05-22,11,98,1,0,0,4,0,29,61,3,0,0
2018-05-22,15,145,0,0,0,2,0,26,67,48,2,0
2018-05-23,11,39,0,0,0,8,0,24,6,1,0,0
2018-05-23,15,60,0,0,0,1,0,17,21,21,0,0
2018-05-24,11,91,0,0,0,5,4,14,39,29,0,0
2018-05-24,15,68,0,0,0,0,0,3,28,35,2,0
2018-05-25,11,42,0,0,0,13,2,5,10,12,0,0
2018-05-25,15,118,0,0,0,3,1,13,10,90,1,0
2018-05-26,11,158,0,0,0,20,16,17,92,13,0,0
2018-05-26,15,89,0,0,0,9,5,18,35,22,0,0
2018-05-27,11,491,0,0,0,22,204,28,186,46,5,0
2018-05-27,15,249,1,0,0,0,2,25,99,120,2,0
2018-05-28,11,578,0,0,0,12,344,30,166,25,1,0
2018-05-28,15,147,0,1,0,0,2,21,69,54,0,0
2018-05-29,11,21,1,0,0,5,10,0,0,5,0,0
2018-05-29,15,35,0,0,0,0,3,0,8,24,0,0
2018-05-30,11,838,0,0,0,9,17,112,692,8,0,0
2018-05-30,15,102,1,0,0,0,0,7,43,51,0,0
2018-05-31,11,557,0,0,0,11,16,92,409,29,0,0
2018-05-31,15,87,0,0,0,0,0,12,32,43,0,0
2018-06-01,11,155,0,0,0,2,3,20,115,15,0,0
2018-06-01,15,109,0,0,0,0,0,5,11,93,0,0
2018-06-02,11,168,0,0,0,17,2,28,90,30,1,0
2018-06-02,15,177,0,0,0,3,5,18,84,67,0,0
2018-06-03,11,382,0,0,0,6,1,38,295,41,1,0
2018-06-03,15,34,0,0,0,0,0,3,14,17,0,0
2018-06-04,11,45,0,0,0,3,7,9,22,4,0,0
2018-06-04,15,28,0,0,0,1,0,12,10,5,0,0
2018-06-05,11,21,0,0,0,3,0,16,2,0,0,0
2018-06-05,15,45,1,0,0,1,0,7,11,25,0,0
2018-06-06,11,135,1,0,0,16,12,28,54,22,2,0
2018-06-06,15,137,1,0,0,0,0,27,49,60,0,0
2018-06-07,11,211,0,0,0,22,0,61,124,4,0,0
2018-06-07,15,222,0,0,0,0,4,26,128,64,0,0
2018-06-08,11,463,0,0,0,7,1,85,335,34,1,0
2018-06-08,15,610,3,0,0,0,0,22,542,43,0,0
2018-06-09,11,512,1,0,0,15,2,159,325,10,0,0
2018-06-09,15,672,0,0,0,1,0,42,540,89,0,0
2018-06-10,11,634,0,0,0,1,0,266,363,4,0,0
2018-06-10,15,1395,4,0,0,0,0,70,1275,46,0,0
2018-06-11,11,207,0,0,0,6,0,35,132,33,1,0
2018-06-11,15,1797,2,0,0,4,0,32,1683,76,0,0
2018-06-12,11,82,0,0,0,5,0,18,49,10,0,0
2018-06-12,15,2510,3,1,0,1,0,142,2330,33,0,0
2018-06-13,11,508,0,0,0,4,2,103,381,18,0,0
2018-06-13,15,206,0,0,0,3,0,12,110,81,0,0
2018-06-14,11,305,0,0,0,5,1,70,193,31,4,1
2018-06-14,15,2592,4,0,0,2,1,72,2354,159,0,0
2018-06-15,11,142,0,0,0,10,0,40,72,19,0,1
2018-06-15,15,4116,4,1,0,1,0,270,3630,210,0,0
2018-06-16,11,135,1,0,0,2,1,36,70,25,0,0
2018-06-17,11,224,0,0,0,4,1,57,140,21,1,0
2018-06-18,11,551,0,0,0,2,4,110,422,13,0,0
2018-06-19,11,95,0,0,0,20,1,16,58,0,0,0
2018-06-20,11,162,0,0,0,8,1,32,109,11,1,0
2018-06-21,11,123,0,0,0,0,0,53,53,17,0,0
2018-06-22,11,315,0,0,0,26,0,38,67,184,0,0
2018-06-23,7,2,0,0,0,0,0,0,2,0,0,0
2018-06-23,11,179,0,0,0,19,0,25,113,20,2,0
2018-06-24,2,4,0,0,0,1,3,0,0,0,0,0
2018-06-24,3,337,0,0,0,5,4,1,319,8,0,0
2018-06-24,7,2861,0,7,0,0,5,201,2619,27,2,0
2018-06-24,8,33,0,0,0,2,19,1,10,0,1,0
2018-06-24,9,20,0,0,0,1,0,1,10,8,0,0
2018-06-24,10,252,0,0,0,4,2,3,28,211,4,0
2018-06-24,11,131,0,0,0,12,0,28,60,31,0,0
2018-06-24,12,115,0,0,0,1,0,4,47,63,0,0
2018-06-24,13,114,0,0,0,0,0,3,108,3,0,0
2018-06-24,14,118,0,0,0,3,1,10,90,14,0,0
2018-06-25,3,46,0,0,0,12,1,1,31,1,0,0
2018-06-25,7,1489,0,2,0,1,3,19,1462,1,1,0
2018-06-25,8,14,0,0,0,6,4,1,3,0,0,0
2018-06-25,9,13,0,0,0,0,2,0,9,2,0,0
2018-06-25,10,331,0,1,0,10,16,2,77,221,4,0
2018-06-25,11,236,0,0,0,9,13,40,156,18,0,0
2018-06-25,12,160,0,0,0,13,8,8,63,68,0,0
2018-06-25,13,51,0,0,0,0,3,0,48,0,0,0
2018-06-25,14,33,0,0,0,3,0,0,8,22,0,0
2018-06-26,2,9,0,0,0,7,0,2,0,0,0,0
2018-06-26,3,277,0,0,0,6,7,0,263,0,1,0
2018-06-26,7,3024,0,5,0,0,0,85,2929,4,1,0
2018-06-26,8,2,0,0,0,2,0,0,0,0,0,0
2018-06-26,9,37,0,0,0,0,0,1,10,26,0,0
2018-06-26,10,303,0,3,0,9,0,3,67,217,4,0
2018-06-26,11,50,0,0,0,8,2,10,27,3,0,0
2018-06-26,12,82,0,0,0,6,4,9,25,38,0,0
2018-06-26,13,74,0,0,0,0,0,0,74,0,0,0
2018-06-26,14,31,0,0,0,0,0,0,10,21,0,0
2018-06-27,2,2,0,0,0,0,1,0,1,0,0,0
2018-06-27,3,31,0,0,0,0,0,0,19,12,0,0
2018-06-27,7,3003,0,4,0,3,1,78,2810,100,4,3
2018-06-27,9,21,0,0,0,0,0,18,1,2,0,0
2018-06-27,10,200,0,1,0,4,0,0,11,183,1,0
2018-06-27,11,121,0,0,0,26,1,14,67,13,0,0
2018-06-27,12,19,0,0,0,1,0,1,5,12,0,0
2018-06-27,13,222,0,0,0,0,0,0,219,1,2,0
2018-06-27,14,1201,0,0,0,4,0,4,1120,73,0,0
2018-06-28,2,1,0,0,0,0,0,0,1,0,0,0
2018-06-28,3,98,0,0,0,2,0,9,87,0,0,0
2018-06-28,7,4198,0,10,0,0,0,119,4059,9,0,1
2018-06-28,9,1,0,0,0,0,0,0,1,0,0,0
2018-06-28,10,119,0,2,0,1,0,1,68,47,0,0
2018-06-28,11,28,0,0,0,0,4,2,10,12,0,0
2018-06-28,12,84,0,0,0,1,6,8,39,30,0,0
2018-06-28,13,291,0,0,0,0,0,8,277,1,5,0
2018-06-28,14,1124,0,0,0,3,0,17,933,171,0,0
2018-06-29,3,9,0,0,0,0,0,2,7,0,0,0
2018-06-29,7,438,0,0,0,0,0,5,433,0,0,0
2018-06-29,9,16,0,0,0,0,0,0,0,16,0,0
2018-06-29,10,101,0,2,0,3,0,2,12,82,0,0
2018-06-29,11,72,0,0,0,5,1,6,48,12,0,0
2018-06-29,12,76,0,0,0,3,0,4,24,45,0,0
2018-06-29,13,2,0,0,0,0,0,0,2,0,0,0
2018-06-29,14,529,0,0,0,1,2,4,494,28,0,0
2018-06-30,2,1,0,0,0,1,0,0,0,0,0,0
2018-06-30,3,7,0,0,0,1,0,3,3,0,0,0
2018-06-30,8,7,0,0,0,2,0,0,5,0,0,0
2018-06-30,10,37,0,0,0,1,0,0,1,35,0,0
2018-06-30,11,72,0,0,0,7,2,13,26,24,0,0
2018-06-30,12,39,0,0,0,1,0,8,25,5,0,0
2018-06-30,13,111,0,0,0,0,0,11,67,20,13,0
2018-06-30,14,378,0,0,0,2,1,15,271,89,0,0
2018-07-01,2,19,0,0,0,1,18,0,0,0,0,0
2018-07-01,3,106,0,0,0,1,0,2,103,0,0,0
2018-07-01,8,4,0,0,0,1,3,0,0,0,0,0
2018-07-01,10,71,0,0,0,6,27,0,8,28,2,0
2018-07-01,11,142,0,0,0,8,10,19,84,21,0,0
2018-07-01,12,62,0,0,0,7,6,5,33,10,1,0
2018-07-01,13,126,0,0,0,0,1,0,75,46,4,0
2018-07-01,14,147,0,0,0,3,0,2,99,43,0,0
2018-07-02,2,1,0,0,0,0,0,1,0,0,0,0
2018-07-02,3,4,0,0,0,0,2,0,2,0,0,0
2018-07-02,8,5,0,0,0,1,0,2,2,0,0,0
2018-07-02,10,96,1,0,0,1,1,0,3,87,3,0
2018-07-02,11,40,0,0,0,4,0,14,22,0,0,0
2018-07-02,12,55,0,0,0,0,4,2,28,21,0,0
2018-07-02,13,198,0,0,0,1,0,1,188,8,0,0
2018-07-02,14,560,0,0,0,2,0,6,442,110,0,0
2018-07-03,2,18,0,0,0,0,0,4,14,0,0,0
2018-07-03,3,24,0,0,0,3,7,6,8,0,0,0
2018-07-03,8,49,0,0,0,19,5,24,1,0,0,0
2018-07-03,10,103,0,0,0,1,0,1,12,88,1,0
2018-07-03,11,49,0,0,0,0,0,8,41,0,0,0
2018-07-03,12,69,0,0,0,0,0,0,35,34,0,0
2018-07-03,13,41,0,0,0,0,0,0,41,0,0,0
2018-07-03,14,217,0,0,0,1,2,6,161,47,0,0
2018-07-04,2,10,0,0,0,0,0,2,8,0,0,0
2018-07-04,3,74,0,0,0,1,0,2,53,18,0,0
2018-07-04,10,59,0,0,0,0,1,1,4,53,0,0
2018-07-04,11,144,0,0,0,5,5,10,82,42,0,0
2018-07-04,12,94,0,0,0,1,15,2,52,23,1,0
2018-07-04,13,49,0,0,0,0,0,0,41,7,1,0
2018-07-04,14,461,0,0,0,3,4,7,398,49,0,0
2018-07-05,2,2,0,0,0,0,0,1,0,1,0,0
2018-07-05,3,1,0,0,0,0,1,0,0,0,0,0
2018-07-05,8,32,0,0,0,0,0,2,30,0,0,0
2018-07-05,10,54,0,0,0,1,0,0,11,40,2,0
2018-07-05,11,131,0,0,0,1,0,14,92,24,0,0
2018-07-05,12,82,0,0,0,1,0,2,58,21,0,0
2018-07-05,13,32,0,0,0,0,0,1,19,9,3,0
2018-07-05,14,47,0,0,0,3,0,2,23,19,0,0
2018-07-06,2,5,0,0,0,0,0,2,3,0,0,0
2018-07-06,3,34,0,0,0,0,0,0,34,0,0,0
2018-07-06,8,13,1,0,0,3,3,2,4,0,0,0
2018-07-06,10,50,0,0,0,2,0,2,19,26,1,0
2018-07-06,11,146,1,0,0,19,12,23,79,12,0,0
2018-07-06,12,91,0,0,0,2,1,1,38,48,1,0
2018-07-06,13,6,0,0,0,0,0,0,6,0,0,0
2018-07-06,14,41,0,0,0,1,0,3,26,11,0,0
2018-07-07,2,37,0,0,0,3,0,15,15,4,0,0
2018-07-07,3,28,0,0,0,3,1,0,13,11,0,0
2018-07-07,8,6,0,0,0,0,0,1,5,0,0,0
2018-07-07,9,1,0,0,0,0,0,0,0,1,0,0
2018-07-07,10,74,0,0,0,0,0,0,53,21,0,0
2018-07-07,11,60,0,0,0,4,3,11,28,14,0,0
2018-07-07,12,197,0,0,0,7,8,4,59,119,0,0
2018-07-07,13,73,0,0,0,0,7,4,51,0,11,0
2018-07-07,14,33,0,0,0,0,0,0,17,16,0,0
2018-07-08,2,3,0,0,0,0,0,0,3,0,0,0
2018-07-08,3,25,0,0,0,0,0,0,0,25,0,0
2018-07-08,8,11,0,0,0,2,0,2,7,0,0,0
2018-07-08,9,20,0,0,0,0,0,0,12,7,1,0
2018-07-08,10,48,0,0,0,0,2,2,32,12,0,0
2018-07-08,11,151,0,0,0,1,1,12,132,5,0,0
2018-07-08,12,133,0,0,0,4,2,8,58,60,1,0
2018-07-08,13,66,0,0,0,0,0,0,65,0,1,0
2018-07-08,14,99,0,0,0,1,0,1,92,5,0,0
2018-07-09,2,22,0,0,0,1,0,1,20,0,0,0
2018-07-09,3,56,0,0,0,1,1,0,53,1,0,0
2018-07-09,9,16,0,0,0,0,13,0,0,3,0,0
2018-07-09,10,85,0,0,0,6,43,1,10,22,3,0
2018-07-09,11,117,0,0,0,15,2,18,71,11,0,0
2018-07-09,12,49,0,0,0,1,1,6,30,6,5,0
2018-07-09,13,227,0,0,0,0,0,3,207,14,3,0
2018-07-09,14,171,0,0,0,0,0,0,133,38,0,0
2018-07-10,3,39,0,0,0,0,2,2,25,10,0,0
2018-07-10,8,2,0,0,0,0,2,0,0,0,0,0
2018-07-10,9,12,0,0,0,0,0,1,9,1,1,0
2018-07-10,10,61,0,0,0,1,0,0,0,59,1,0
2018-07-10,11,59,0,0,0,3,0,12,43,1,0,0
2018-07-10,12,73,0,0,0,0,1,5,65,2,0,0
2018-07-10,13,71,0,0,0,0,0,1,70,0,0,0
2018-07-10,14,338,0,0,0,1,0,2,275,60,0,0
2018-07-11,2,2,0,0,0,0,1,1,0,0,0,0
2018-07-11,3,3,0,0,0,0,0,0,3,0,0,0
2018-07-11,8,8,0,0,0,0,0,0,8,0,0,0
2018-07-11,9,5,0,0,0,0,5,0,0,0,0,0
2018-07-11,10,56,0,0,0,0,0,2,29,25,0,0
2018-07-11,11,76,0,0,0,5,3,11,51,6,0,0
2018-07-11,12,102,0,0,0,0,0,13,62,27,0,0
2018-07-11,13,172,0,0,0,0,0,0,170,2,0,0
2018-07-11,14,738,0,0,0,4,0,3,673,58,0,0
2018-07-12,2,1,0,0,0,0,1,0,0,0,0,0
2018-07-12,3,4,0,0,0,2,0,0,2,0,0,0
2018-07-12,9,37,0,0,0,0,0,9,13,15,0,0
2018-07-12,10,44,0,0,0,0,2,0,23,19,0,0
2018-07-12,11,150,0,0,0,12,0,23,103,12,0,0
2018-07-12,12,140,0,0,0,1,2,27,82,28,0,0
2018-07-12,13,89,0,0,0,0,0,1,86,2,0,0
2018-07-12,14,481,0,0,0,0,0,20,399,62,0,0
2018-07-13,2,1,0,0,0,0,0,1,0,0,0,0
2018-07-13,3,39,0,0,0,1,0,0,35,3,0,0
2018-07-13,8,2,0,0,0,0,2,0,0,0,0,0
2018-07-13,9,3,0,0,0,0,3,0,0,0,0,0
2018-07-13,10,37,0,0,0,2,2,3,26,3,1,0
2018-07-13,11,238,0,0,0,4,2,49,180,3,0,0
2018-07-13,12,110,0,0,0,3,6,2,68,31,0,0
2018-07-13,13,45,0,0,0,0,0,0,37,7,1,0
2018-07-13,14,487,0,0,0,0,0,8,414,65,0,0
2018-07-14,2,1,0,0,0,0,0,0,1,0,0,0
2018-07-14,3,33,0,0,0,0,0,1,32,0,0,0
2018-07-14,9,13,0,0,0,1,0,0,10,2,0,0
2018-07-14,10,79,0,1,0,0,0,1,19,58,0,0
2018-07-14,11,107,0,0,0,1,1,16,70,19,0,0
2018-07-14,12,135,0,1,0,0,0,5,58,68,3,0
2018-07-14,13,10,0,0,0,0,0,0,10,0,0,0
2018-07-14,14,471,0,0,0,0,0,3,456,12,0,0
2018-07-15,2,10,0,0,0,0,0,0,10,0,0,0
2018-07-15,8,15,0,0,0,8,3,2,2,0,0,0
2018-07-15,9,63,0,0,0,0,0,2,33,26,2,0
2018-07-15,10,116,0,0,0,0,0,7,63,45,1,0
2018-07-15,11,135,0,0,0,7,18,23,66,21,0,0
2018-07-15,12,122,1,0,0,0,0,24,69,26,2,0
2018-07-15,13,2,0,0,0,0,0,0,2,0,0,0
2018-07-15,14,35,0,0,0,1,1,0,17,16,0,0
2018-07-16,2,3,0,0,0,0,0,2,1,0,0,0
2018-07-16,3,11,0,0,0,0,4,1,5,1,0,0
2018-07-16,8,4,0,0,0,0,0,0,3,0,1,0
2018-07-16,9,16,0,0,0,0,0,0,16,0,0,0
2018-07-16,10,14,0,0,0,0,2,0,0,12,0,0
2018-07-16,11,70,0,0,0,7,4,12,33,14,0,0
2018-07-16,12,36,0,0,0,2,0,1,10,23,0,0
2018-07-16,13,24,0,0,0,0,0,0,24,0,0,0
2018-07-16,14,71,0,0,0,0,2,1,63,5,0,0
2018-07-17,2,9,0,0,0,0,0,0,9,0,0,0
2018-07-17,3,23,0,0,0,0,2,2,19,0,0,0
2018-07-17,8,1,0,0,0,0,0,0,1,0,0,0
2018-07-17,9,5,0,0,0,0,1,0,4,0,0,0
2018-07-17,10,30,0,0,0,6,6,5,5,8,0,0
2018-07-17,11,73,0,0,0,1,0,16,54,1,1,0
2018-07-17,12,60,0,0,0,0,0,2,53,5,0,0
2018-07-17,13,16,0,0,0,0,0,1,15,0,0,0
2018-07-17,14,37,0,0,0,4,1,4,7,21,0,0
2018-07-18,3,14,0,0,0,2,0,5,6,0,1,0
2018-07-18,8,1,0,0,0,0,1,0,0,0,0,0
2018-07-18,9,29,0,0,0,0,0,1,13,15,0,0
2018-07-18,10,163,0,1,0,1,1,7,67,85,1,0
2018-07-18,11,65,1,0,0,7,10,19,28,0,0,0
2018-07-18,12,54,0,0,0,3,3,7,32,6,3,0
2018-07-18,14,13,0,0,0,0,0,0,13,0,0,0
2018-07-19,2,1,0,0,0,0,1,0,0,0,0,0
2018-07-19,3,18,0,0,0,0,7,0,11,0,0,0
2018-07-19,8,31,0,0,0,0,0,0,30,0,1,0
2018-07-19,9,20,0,1,0,0,0,1,18,0,0,0
2018-07-19,10,39,0,0,0,0,0,0,15,24,0,0
2018-07-19,11,123,0,0,0,4,1,15,79,24,0,0
2018-07-19,12,44,0,0,0,0,2,1,36,5,0,0
2018-07-19,13,24,0,0,0,4,12,0,8,0,0,0
2018-07-19,14,22,0,0,0,0,0,2,12,8,0,0
2018-07-20,2,1,0,0,0,0,0,1,0,0,0,0
2018-07-20,3,6,0,0,0,0,6,0,0,0,0,0
2018-07-20,8,7,0,0,0,0,0,4,3,0,0,0
2018-07-20,9,25,0,0,0,0,0,1,8,16,0,0
2018-07-20,10,163,0,2,0,3,2,5,83,67,1,0
2018-07-20,11,131,0,0,0,3,0,15,84,28,0,1
2018-07-20,12,690,0,1,0,8,4,48,602,20,7,0
2018-07-20,13,3,0,0,0,0,0,0,3,0,0,0
2018-07-20,14,37,0,0,0,3,1,1,11,21,0,0
2018-07-21,2,4,0,0,0,0,4,0,0,0,0,0
2018-07-21,8,9,0,0,0,1,3,0,5,0,0,0
2018-07-21,9,38,0,0,0,2,0,0,35,1,0,0
2018-07-21,10,58,0,0,0,0,0,0,20,36,2,0
2018-07-21,11,72,0,0,0,3,6,15,37,11,0,0
2018-07-21,12,74,0,0,0,1,1,13,57,1,1,0
2018-07-21,13,1,0,0,0,0,0,0,1,0,0,0
2018-07-21,14,37,0,0,0,9,0,0,18,10,0,0
2018-07-22,2,4,0,0,0,0,0,1,2,1,0,0
2018-07-22,3,20,0,0,0,1,1,6,10,1,1,0
2018-07-22,8,2,0,0,0,0,0,0,0,2,0,0
2018-07-22,9,50,0,0,0,0,0,5,44,1,0,0
2018-07-22,10,32,0,0,0,0,0,1,26,5,0,0
2018-07-22,11,160,0,0,0,3,1,18,130,7,1,0
2018-07-22,12,105,0,0,0,15,0,12,73,4,1,0
2018-07-22,13,12,0,0,0,0,0,0,12,0,0,0
2018-07-22,14,24,0,0,0,1,0,0,16,7,0,0
2018-07-23,2,5,0,0,0,0,0,3,2,0,0,0
2018-07-23,3,47,0,0,0,1,0,13,32,1,0,0
2018-07-23,8,2,0,0,0,0,0,0,2,0,0,0
2018-07-23,9,15,0,0,0,0,0,0,13,2,0,0
2018-07-23,10,17,0,0,0,0,0,1,0,16,0,0
2018-07-23,11,93,0,0,0,2,5,18,47,21,0,0
2018-07-23,12,160,0,0,0,0,0,11,127,22,0,0
2018-07-23,14,56,0,0,0,0,0,2,52,2,0,0
2018-07-24,3,31,0,0,0,4,1,0,12,13,1,0
2018-07-24,8,8,0,0,0,0,0,2,6,0,0,0
2018-07-24,9,53,0,0,0,0,0,1,49,3,0,0
2018-07-24,10,40,0,0,0,0,1,0,37,1,1,0
2018-07-24,11,100,0,0,0,1,0,21,77,1,0,0
2018-07-24,12,88,0,0,0,1,0,4,64,19,0,0
2018-07-24,13,8,0,0,0,0,0,0,0,8,0,0
2018-07-24,14,43,0,0,0,2,0,1,25,15,0,0
2018-07-25,2,1,0,0,0,0,0,1,0,0,0,0
2018-07-25,9,16,0,0,0,0,1,0,15,0,0,0
2018-07-25,10,40,0,0,0,9,4,0,18,9,0,0
2018-07-25,11,179,0,0,0,6,9,16,141,7,0,0
2018-07-25,12,101,0,0,0,2,5,8,80,6,0,0
2018-07-25,13,8,0,0,0,0,0,0,0,8,0,0
2018-07-25,14,17,0,0,0,3,1,0,6,7,0,0
2018-07-26,2,3,0,0,0,0,3,0,0,0,0,0
2018-07-26,3,16,0,0,0,0,0,1,15,0,0,0
2018-07-26,8,15,0,0,0,11,2,0,2,0,0,0
2018-07-26,9,11,0,0,0,0,0,1,10,0,0,0
2018-07-26,10,90,0,0,0,1,3,2,42,42,0,0
2018-07-26,11,141,0,0,0,23,11,17,65,24,1,0
2018-07-26,12,26,0,0,0,3,2,1,19,1,0,0
2018-07-26,13,1,0,0,0,0,0,0,0,1,0,0
